beneficiary_id,full_name,identification_number,telephone,email,date_of_birth,gender,county,sub_county,ward,address,registration_date,status,tech_track,cohort,mentor,project_area,completion_status
TECH-000334,janet ochieng karanja,82123324,NA,janet.karanja@outlook.com,1970-04-24,female,Kakamega,Khwisero,Kisa Central,"House 118, Ngong Avenue, Kiambu Road",2024-04-20,A,Mobile Development,Cohort 1,Prof. Catherine Chepkorir,Clean Energy,Completed
TECH-000335,mutinda mogaca,17893691,+254 114-493-27,mutinda.mogaka@gmail.com,1991-04-23,female,Meru,Igembe North,Naathu,"House 418, River Road Street, Waiyaki",2025-07-11,I,AI/ML,Cohort 2,Eng. Anthony Wanyonyi,Logistics,Active
TECH-000336,AOKO KAGWIRIA MUTUA,44678863,+254 714-339-50,aoko.mutua@gmail.com,1988-02-26,female,Machakos,Kangundo,Kangundo East,"Plot 301, Lane 1, Limuru",19-Mar-2024,I,AI/ML,Cohort 1,Dr. Michael Gitonga,Logistics,Completed
TECH-000337,KWAMBOKA SARAH MURIUKI,71533194,+254 111-890-26,kwamboka.muriuki@yahoo.com,1985-07-03,male,Uasin Gishu,Soy,Segero/Barsombe,"Plot 150, Lane 11, Moi Avenue",18-Oct-2024,A,Cybersecurity,Cohort 1,Prof. Robert Kamau,Clean Energy,On Hold
TECH-000338,KIPKEMBOI KAMAU ANYANGO,52502178,+254 112-804-81,kamau.kipkemboi@gmail.com,1977-10-10,female,Machakos,Yatta,Ikombe,"House 253, River Road Road, Thika Superhighway",2024-03-19,A,Data Science,Cohort 1,Prof. Catherine Chepkorir,Clean Energy,Withdrawn
TECH-000339,veronica onditi musyoka,17076255,010 373 781,veronica.musyoka@yahoo.com,1997-02-11,male,Nakuru,Rongai,Solai,"Plot 365, Lane 3, Outering",03-Nov-2026,A,Cybersecurity,Cohort 1,Prof. Moses Muthoka,EdTech,Withdrawn
TECH-000340,ODUYA EDWARD KAMAU,96974887,+254 786-656-43,oduya.kamau@gmail.com,1996-04-17,female,Nyeri,Nyeri Town,Kamakwa/Mukaro,"Plot 171, Lane 19, Tom Mboya",11/10/2024,A,Software Engineering,Cohort 2,Dr. Sarah Mutua,Logistics,On Hold
TECH-000341,JUDITH MWANGI ACHIENG,25861239,+254 769-107-69,judith.achieng@outlook.com,1976-04-22,male,Uasin Gishu,Kapseret,Ngeria,"Plot 322, Lane 7, Karen",06-Sep-2026,I,Data Science,Cohort 1,Eng. Micah Kioko,E-Commerce,Active
TECH-000342,LILIAN KIOKO,56076501,+254 743-587-57,lilian.kioko@gmail.com,1992-09-26,female,Nairobi,Westlands,Kangemi,"House 298, Juja Street, Parklands",09-Aug-25,I,Cybersecurity,Cohort 1,Dr. Lucy Otieno,EdTech,Active
TECH-000343,MUTHEU ANIANGO,86514083,+254 756-581-36,mutheu.anyango@gmail.com,1974-12-10,male,Nakuru,Kuresoi South,Amalo,"Plot 372, Lane 17, Juja",01/05/2026,A,AI/ML,Cohort 3,Dr. Harun Mwikali,Logistics,On Hold
TECH-000344,mbaka awuor mwikali,85040061,+254 722-178-15,awuor.mbaka@outlook.com,1956-09-27,male,Trans Nzoia,Kiminini,Nabiswa,"House 59, Kileleshwa Road, Ngong Road",03/19/2025,A,AI/ML,Cohort 1,Dr. Jonah Kasina,IoT,Withdrawn
TECH-000345,SYOMBUA KIPKOECH MASINDE,14650569,+254 797-492-53,syombua.masinde@yahoo.com,1976-09-16,male,Nairobi,Dagoretti South,Uthiru,"House 103, Thika Street, Likoni",31-05-2025,A,DevOps,Cohort 3,Dr. Daniel Musyoka,Fintech,Withdrawn
TECH-000346,VINCENT LYDIA HASSAN,10502052,+254 751-019-57,vincent.hassan@gmail.com,1998-03-27,female,Nakuru,Kuresoi North,Nyota,"House 394, Outering Drive, Thika Superhighway",20-03-2025,I,AI/ML,Cohort 1,Dr. Harun Mwikali,HealthTech,On Hold
TECH-000347,paul owuor,61590666,+254 724-784-79,paul.owuor@gmail.com,NULL,male,NAIROBI,LANG'ATA,SOUTH C,"Plot 85, Lane 7, Mombasa Road",25-08-2026,A,Mobile Development,Cohort 2,Prof. Daniel Mutisya,Logistics,Completed
TECH-000348,jebiwott nafula koech,20135745,+254 789-191-89,jebiwott.koech@yahoo.com,1986-08-13,male,MACHAKOS,Yatta,Matuu,"House 418, Ngong Road Road, Ngong",22 Oct 2024,I,AI/ML,Cohort 3,Prof. James Mwangi,Logistics,Active
TECH-000349,wachira pauline karanja,30544162,+254 741-794-84,wachira.karanja@outlook.com,2000-01-05,male,Mombasa,Nyali,Frere Town,"Plot 241, Lane 7, Garden Estate",17 Jun 2024,I,Data Engineering,Cohort 2,Prof. Catherine Chepkorir,EdTech,Withdrawn
TECH-000350,NICHOLAS KENEI,26947996,+254 708-793-81,nicholas.kenei@hotmail.com,1983-12-24,male,Mombasa,Mvita,Mji wa Kale,"Plot 431, Lane 5, Juja",18/05/2026,I,Cybersecurity,Cohort 2,Eng. Anthony Wanyonyi,EdTech,Completed
TECH-000351,kerubo njuguna nganga,32-907-135,+254 757-393-46,kerubo.nganga@gmail.com,1976-08-14,female,UASIN GISHU,Ainabkoi,Kapsoya,"Plot 290, Lane 17, Argwings Kodhek",07/01/2025,I,Cybersecurity,Cohort 2,Prof. Robert Kamau,E-Commerce,Active
TECH-000352,kimani koech,49086854,+254 743 259 14,kimani.koech@hotmail.com,1996-04-09,male,Turkana,Turkana East,Lokori/Kochodin,"House 311, Ngong Road Road, Juja",09-Aug-25,I,Cloud Computing,Cohort 2,Prof. Victor Kioko,Clean Energy,Completed
TECH-000353,DAVID LUBANGA,66686632,+254 104-300-79,david.lubanga@hotmail.com,1992-03-01,male,Nyeri,Kieni,Mwiyogo/Endarasha,"House 250, Likoni Avenue, Parklands",2025-04-13,I,Software Engineering,Cohort 3,Dr. Allan Mumo,IoT,Withdrawn
TECH-000354,gathoni mutisya macharia,31216439,+254 118-901-57,gathoni.macharia@outlook.com,1992-11-05,male,Uasin Gishu,Kapseret,Megun,"House 145, Outering Drive, Ruiru",24-04-2024,A,Data Science,Cohort 3,Prof. Obadiah Mwania,IoT,Completed
TECH-000355,WAMALWA MWAKIDEU,48-974-564,+254 772-618-34,wamalwa.mwakideu@yahoo.com,1978-05-01,male,Mombasa,Jomvu,Mikindani,"Plot 114, Lane 13, Kasarani",2024-06-21,A,Mobile Development,Cohort 2,Dr. Sarah Mutua,E-Commerce,On Hold
TECH-000356,esther mwikali,25811556,+254 728-289-10,esther.mwikali@yahoo.com,1971-03-13,male,Uasin Gishu,Moiben,Sergoit,"House 48, Uhuru Drive, Jogoo",24 Dec 2024,A,DevOps,Cohort 3,Eng. Martin Kasina,HealthTech,Withdrawn
TECH-000357,GITOBU MUTINDA,44063535,+254 763-438-47,gitobu.mutinda@gmail.com,2000-10-18,male,Meru,Buuri,Kiirua/Naari,"House 68, Kikuyu Street, Jogoo",06-Oct-25,A,Mobile Development,Cohort 1,Eng. Amos Nduku,EdTech,Completed
TECH-000358,GAKUNYI MWAKISH,68719406,+254 103-970-07,gakunyi.mwakisha@outlook.com,1993-02-03,female,Kilifi,Kilifi North,Tezo,"Plot 54, Lane 20, Likoni",07-06-2025,I,Data Science,Cohort 1,Eng. Elijah Mwania,HealthTech,Withdrawn
TECH-000359,joseph onsongo chepkorir,31829800,+254 727-927-51,joseph.chepkorir@outlook.com,1966-09-27,male,Kisumu,Seme,North Seme,"House 180, Waiyaki Road, Moi Avenue",2024-09-15,A,DevOps,Cohort 1,Dr. Collins Mwania,IoT,On Hold
TECH-000360,HANNAH MUEMA,92720952,+254 775-267-17,hannah.muema@gmail.com,1986-10-13,male,Kisumu,Nyakach,South West Nyakach,"Plot 35, Lane 15, Kasarani",20261110,I,Cybersecurity,Cohort 2,Dr. Daniel Musyoka,E-Commerce,On Hold
TECH-000361,ACHIENG OLLA,36810554,+254 108-024-69,achieng.olela@gmail.com,1984-05-15,female,NULL,Butere,Marama North,,,I,Mobile Development,Cohort 1,Eng. Elijah Mwania,E-Commerce,Completed
TECH-000362,anyango mutisya,40595359,+254 119-371-58,anyango.mutisya@gmail.com,1981-05-16,male,Machakos,Yatta,Katangi,"House 456, Thika Superhighway Drive, Kiambu",2025-07-01,A,Mobile Development,Cohort 3,Dr. Jonah Kasina,HealthTech,Completed
TECH-000363,ODHIAMBO NAMUKHULA,52549710,+254 106-484-67,odhiambo.namukhula@gmail.com,1998-01-01,male,Meru,North Imenti,Mweronkanga,"House 173, Athi River Street, Athi River",2024-01-21,I,Cloud Computing,Cohort 1,Prof. David Kiprotich,Logistics,Completed
TECH-000364,SENTEU IRENE KASINA,64003293,+254 792-102-31,senteu.kasina@gmail.com,1990-07-21,female,Meru,Tigania West,Kianjai,"Plot 254, Lane 7, Kangundo",20240215,A,NA,Cohort 3,Prof. Kevin Muriuki,HealthTech,Withdrawn
TECH-000365,ODUYA WANGARI,98638169,+254 734-949-53,oduya.wangari@gmail.com,2006-06-04,male,Nairobi,Kibra,Lindi,"Plot 410, Lane 6, Thika Superhighway",03-Jun-2024,A,Cloud Computing,Cohort 1,Eng. Ezekiel Mumo,AgriTech,Withdrawn
TECH-000366,moraa wabomba,67742815,+254 776-738-33,moraa.wabomba@outlook.com,1985-07-14,male,Meru,Igembe Central,Akachiu,"Plot 205, Lane 3, Argwings Kodhek",2024-04-21,I,Mobile Development,Cohort 1,Prof. David Kiprotich,Clean Energy,Completed
TECH-000367,AMOS OTIANO,64128162,+254 766-291-46,amos.otieno@gmail.com,1999-01-22,female,Nakuru,Molo,Molo,"House 108, Juja Road, Outering",24-Nov-2025,I,DevOps,Cohort 1,Prof. Mercy Nduku,Fintech,Completed
TECH-000368,JUDITH OKOTH,35444694,+254 743-955-12,judith.okoth@yahoo.com,1975-10-22,male,Kisumu,Nyakach,South West Nyakach,"Plot 52, Lane 17, Kiambu",31-Aug-2026,A,AI/ML,Cohort 1,Prof. Victor Kioko,HealthTech,Withdrawn
TECH-000369,KIPKIRUI GRACE MWANGI,14273658,+254 787-794-25,kipkirui.mwangi@hotmail.com,1993-03-10,male,Trans Nzoia,Cherangany,Cherangany/Suwerwa,"House 379, Uhuru Street, Lavington",09-Apr-24,A,AI/ML,Cohort 1,Dr. Grace Wanjiku,HealthTech,Completed
TECH-000370,kipkorir mwikali,68-239-787,+254 726-605-75,kipkorir.mwikali@gmail.com,1999-08-24,male,TURKANA,Turkana South,Kalamon,"House 360, Juja Road, Langata",2024-03-09,I,Cloud Computing,Cohort 1,Eng. Peter Ochieng,IoT,Completed
TECH-000371,awiti mutua,72-906-871,+254 113-701-98,awiti.mutua@yahoo.com,1995-05-12,female,Machakos,Mavoko,Syokimau/Mulolongo,"Plot 411, Lane 11, Thika Superhighway",10/07/2024,I,Cybersecurity,Cohort 1,Prof. Victor Kioko,Logistics,Completed
TECH-000372,NAFULA LENGURO,19272837,25411551673,nafula.lenguro@yahoo.com,2003-10-11,male,Nakuru,Rongai,Menengai West,"House 106, Moi Avenue Street, Ruaraka",05/16/2025,A,Cloud Computing,Cohort 1,Dr. Harun Mwikali,HealthTech,Completed
TECH-000373,deborah muriuky,41291228,+254 795-617-44,,2000-09-06,female,Nairobi,Westlands,Kangemi,"Plot 215, Lane 16, Lavington",10/25/2026,A,Data Engineering,Cohort 3,Prof. Obadiah Mwania,E-Commerce,Completed
TECH-000374,WAIRIMU KOAMAU,65277579,+254 766-677-99,wairimu.kamau@yahoo.com,2003-02-16,male,Nairobi,Dagoretti North,NULL,"Plot 87, Lane 4, Likoni",2025-07-19,I,Software Engineering,Cohort 3,Dr. Joy Kaloki,Clean Energy,Withdrawn
TECH-000375,muriuki towett,97252135,+254 101-745-58,muriuki.towett@gmail.com,2006-05-11,female,Nyeri,Nyeri Town,Kamakwa/Mukaro,"Plot 78, Lane 17, Langata",24/05/2024,A,Data Engineering,Cohort 1,Eng. Isaac Mutua,Fintech,On Hold
TECH-000376,chepkorir nyaboke juma,51262331,NULL,chepkorir.juma@gmail.com,2000-02-03,male,Nairobi,Lang'ata,South C,"Plot 56, Lane 17, Ngong",2024-01-23,I,Cloud Computing,Cohort 1,Prof. Victor Kioko,Fintech,Active
TECH-000377,joseph korross,18952306,+254 785-314-93,joseph.koross@gmail.com,2003-01-27,male,Nyeri,Mukurweini,Gikondi,"Plot 398, Lane 4, Kasarani",30-Sep-25,I,Cybersecurity,Cohort 2,Eng. Anthony Wanyonyi,Clean Energy,Withdrawn
TECH-000378,MUKAMI JEBET,27-697-461,+254 764-707-76,m.j@gmail.com,14/02/1999,Female,Nakuru,Nakuru Town West,Kapkures,"house 349, uhuru road, kikuyu",09/09/2025,INACTIVE,Cybersecurity,Cohort 01,Dr. Lucy Otieno,IoT,Withdrawn
TECH-000379,NICHOLAS FAITH AWINO,76679708,+254 725-876-76,nicholas.awino@yahoo.com,1978-11-11,male,Nairobi,Westlands,Mountain View,"House 210, Kiambu Avenue, Lavington",11/04/2024,I,AI/ML,Cohort 3,Prof. Catherine Chepkorir,Clean Energy,Completed
TECH-000380,mokua kenei,32330427,+254 754-173-97,mokua.kenei@gmail.com,1974-03-23,male,MACHAKOS,MACHAKOS TOWN,MUTITUNI,"House 292, Kasarani Avenue, Thika",06/03/2026,A,Data Science,Cohort 3,Dr. Jeremiah Kioko,HealthTech,On Hold
TECH-000381,COLLINS NICHOLAS MWAKIDEU,77191418,+254 708-273-77,collins.mwakideu@outlook.com,1970-01-25,male,Nairobi,Kibra,Sarang'ombe,"Plot 27, Lane 17, Ruaraka",28-Mar-2025,I,Data Engineering,Cohort 2,Eng. Faith Nashipae,AgriTech,On Hold
TECH-000382,VINCENT MUTHOKA,29 917 719,+254 796-182-06,vincent.muthoka@yahoo.com,1994-08-01,male,Kiambu,Limuru,Ndeiya,"Plot 381, Lane 2, Kangundo",20-12-2026,I,Cloud Computing,Cohort 3,Eng. Brian Mulwa,HealthTech,Withdrawn
TECH-000383,maina wanyoika,50880085,+254 774-450-26,maina.wanyoike@gmail.com,1986-11-15,female,Nyeri,Tetu,Aguthi/Gaaki,"Plot 235, Lane 20, Likoni",22-05-2024,A,Cloud Computing,Cohort 3,Prof. Kevin Muriuki,Fintech,Withdrawn
TECH-000384,khaemba bayta,55682742,+254 718-120-79,khaemba.baya@gmail.com,1986-10-03,female,Kiambu,Kiambu,Ting'ang'a,"Plot 402, Lane 11, Kileleshwa",20251119,I,Data Engineering,Cohort 1,Dr. Michael Gitonga,EdTech,Active
TECH-000385,c. wanjohi,20643089,+254 735-956-87,cecilia.wanjohi@hotmail.com,1977-11-28,male,Nairobi,Dagoretti South,Mutuini,"House 94, Juja Drive, Kenyatta",2026-01-11,A,Cloud Computing,Cohort 2,Eng. Peter Ochieng,Clean Energy,Active
TECH-000386,malachi cherono,69-002-986,+254 783-150-64,NULL,1989-02-14,male,NULL,Malindi,Shella,"House 193, Kikuyu Road, Thika",27/04/2025,NULL,Cloud Computing,Cohort 3,Prof. James Mwangi,EdTech,On Hold
TECH-000387,muthoni susan kipkemoi,42700268,+254 736-785-65,muthoni.kipkemoi@yahoo.com,1997-12-17,female,Nakuru,Kuresoi South,Tinet,"Plot 424, Lane 7, Waiyaki",08/04/2025,A,Mobile Development,Cohort 2,Prof. Mercy Nduku,Clean Energy,On Hold
TECH-000388,cynthia namukhula ondieki,55769240,+254 101-123-72,cynthia_ondieki@hotmail.com,24-02-1995,MALE,Kisumu,Kisumu Central,Nyalenda 'B',"PLOT 44, LANE 11, OUTERING",02-03-2025,Pending,DevOps,C2,Dr. Joy Kaloki,Fintech,Active
TECH-000389,KIPKEMOI LENGUOR,59449217,,kipkemoi.lenguro@gmail.com,1995-08-03,male,Bomet,NULL,Chesoen,,2026-12-27,I,AI/ML,Cohort 2,Prof. Robert Kiema,Fintech,Completed
TECH-000390,stephen wandera,12968722,+254 777-886-90,stephen.wandera@gmail.com,2001-11-22,female,Nairobi,Lang'ata,Karen,"House 147, Parklands Avenue, Ruaraka",01/05/2026,,Software Engineering,Cohort 1,Eng. John Wekesa,IoT,Active
TECH-000391,faith wngari,23873812,+254 722-770-62,faith.wangari@hotmail.com,1971-04-21,female,Meru,Igembe South,Athiru Gaiti,"Plot 146, Lane 12, Mombasa Road",20250731,I,Cloud Computing,Cohort 3,Eng. Martin Kasina,Logistics,Active
TECH-000392,GRACE ADOYO,61753132,+254 747-310-35,grace.adoyo@gmail.com,1992-12-20,female,BOMET,Sotik,Chemagel,"House 163, Likoni Street, Uhuru",21 Apr 2024,I,DevOps,Cohort 3,Eng. Gilbert Mutisya,EdTech,Active
TECH-000393,ISAAC ODUYA ONSONGO,83608832,+254 103-540-63,isaac.onsongo@outlook.com,1982-05-27,female,Kiambu,Kikuyu,Kinoo,"Plot 151, Lane 13, Kikuyu",25-Feb-26,I,Data Engineering,Cohort 3,Dr. Mary Akinyi,HealthTech,On Hold
TECH-000394,SARAH CHEPKIRUI,70613787,+254 712-934-12,sarah.chepkirui@gmail.com,1976-12-02,male,Kilifi,Kilifi North,Matsangoni,"House 452, Limuru Avenue, Outering",15 Jan 2024,I,AI/ML,Cohort 2,Prof. Isaiah Kasina,Fintech,On Hold
TECH-000395,MARGARET NDEGWA,37735363,+254 742-196-06,margaret.ndegwa@gmail.com,1953-02-13,female,Kisumu,Nyakach,Central Nyakach,"Plot 40, Lane 16, Likoni",2024-06-07,I,Data Engineering,Cohort 2,Eng. Anne Momanyi,AgriTech,On Hold
TECH-000396,"MWENDWA, OWUOR HAGGAI",20072117,+254 706-041-32,owuor.mwendwa@gmail.com,1999-11-28,male,Machakos,Matungulu,Matungulu West,"Plot 266, Lane 2, Juja",19-01-2026,A,Cloud Computing,Cohort 2,Eng. Brian Mulwa,AgriTech,Withdrawn
TECH-000397,hannah baya,19372830,+254 747-866-34,hannah.baya@yahoo.com,1994-08-01,male,Nairobi,Dagoretti South,Mutuini,"House 410, Uhuru Road, Thika",15-01-2026,A,Cybersecurity,Cohort 1,Dr. Harun Mwikali,E-Commerce,Completed
TECH-000398,rimberia jane mutua,17367600,+254 775-571-02,rimberia.mutua@hotmail.com,1977-09-23,female,Bomet,Sotik,Ndanai/Abosi,"Plot 238, Lane 9, Langata",19/01/2025,A,Software Engineering,Cohort 3,Eng. Micah Kioko,E-Commerce,Withdrawn
TECH-000399,mumo sharon mworoa,13-306-687,+254 751-307-50,mmworoa@gmail.com,04-May-1996,FEMALE,Bungoma,Sirisia,Malakisi/South Kulisiru,Plot 283 Lane 19 Kangundo,28/06/2026,Inactive,Mobile Development,Cohort  1,Dr. Mary Akinyi,IoT,Active
TECH-000400,john musyimmi,84 541 703,+254 714-830-87,john15@hotmail.com,1995-07-06,F,Kiambu,NULL,Githunguri,Plot 163 Lane 17 Ngong,24-Nov-2026,I,Cybersecurity,C-1,Eng. Peter Ochieng,E-Commerce,Completed
TECH-000401,ojwang matoke,51910609,+254 788-459-32,ojwang.matoke@gmail.com,1996-03-26,female,Kisumu,Seme,North Seme,"House 443, Garden Estate Avenue, Karen",2026-04-17,A,Data Science,Cohort 1,Prof. David Kiprotich,Fintech,Withdrawn
TECH-000402,mwende njeri nekesa,30 142 372,+254 112-947-41,mwende.nekesa@outlook.com,1983-07-16,female,Turkana,Turkana North,Kaikor,"Plot 381, Lane 6, Kiambu Road",2025-03-31,I,Software Engineering,Cohort 2,Eng. Elijah Mwania,HealthTech,On Hold
TECH-000403,kagwiria pauline mwaura,13581735,+254 107-320-46,kmwaura@gmail.com,25-11-1962,FEMALE,Nakuru,Kuresoi South,Amalo,Plot211Lane17Waiyaki,05-03-2026,I,Data Science,Cohort  2,Dr. Aaron Nduku,E-Commerce,On Hold
TECH-000404,MUTHONI NDUNNGE,77590047,+254 787-510-82,muthoni.ndunge@hotmail.com,1998-06-21,female,Nairobi,Dagoretti South,Uthiru,"Plot 120, Lane 1, Lenana",21/03/2026,I,Cloud Computing,Cohort 3,Eng. Micah Kioko,IoT,Withdrawn
TECH-000405,naisula musyoka wamuyu,50579039,+254 759-357-05,naisula.wamuyu@yahoo.com,1966-07-24,female,Uasin Gishu,Turbo,Kiplombe,"House 237, Westlands Drive, Jogoo",12/08/2024,A,AI/ML,Cohort 2,Dr. Mary Akinyi,Fintech,Completed
TECH-000406,george mwikali,14721256,+254 765-044-96,george.mwikali@outlook.com,2002-01-03,male,Nairobi,Lang'ata,Mugumu-ini,"House 345, Lenana Street, Ruiru",25-Nov-2025,I,Cloud Computing,Cohort 1,Eng. Ezekiel Mumo,IoT,On Hold
TECH-000407,AMOS KINYA,NA,+254 709-240-08,amos.kinya@gmail.com,1996-02-14,female,Kilifi,Malindi,Shella,"House 38, Uhuru Avenue, Langata",09 May 2024,I,Data Science,Cohort 2,Eng. Gilbert Mutisya,HealthTech,Active
TECH-000408,TERESA WANJOH,17889537,+254 798-221-53,twanjohi@outlook.com,19700216,M,Turkana,Turkana Central,,House 270 Outering Street Parklands,16/08/2026,Inactive,Software Engineering,COHORT-02,Prof. Victor Kioko,E-Commerce,Completed
TECH-000409,anthony martin wangari,72505408,+254 762-835-24,anthony.wangari@hotmail.com,1965-02-25,female,Nyeri,Nyeri Town,Kiganjo/Mathari,"Plot 411, Lane 9, Ngong",24/07/2024,I,Data Science,Cohort 3,Dr. Allan Mumo,Clean Energy,On Hold
TECH-000410,MWIKALI KORIR,95510088,0113.571.35,mwikali.korir@gmail.com,1977-09-07,female,Uasin Gishu,Ainabkoi,Kaptagat,"Plot 366, Lane 13, Kangundo",02-Sep-26,A,Data Engineering,,Eng. Elijah Mwania,HealthTech,Active
TECH-000411,khaemba naliaka,57 455 285,+254 712-838-42,khaemba.naliaka@gmail.com,1993-12-27,female,Nairobi,Kibra,Lindi,"House 114, Garden Estate Avenue, Waiyaki",04-Jul-2026,I,Data Science,Cohort 1,Dr. Aaron Nduku,E-Commerce,Withdrawn
TECH-000412,diana mwikali,57778592,+254 101-301-79,diana.mwikali@outlook.com,2001-07-16,male,Machakos County,Machakos Town,Machakos Central,"House 204, Ruaraka Street, Kangundo",28 Jan 2026,I,Mobile Development,Cohort 1,Prof. Obadiah Mwania,AgriTech,Completed
TECH-000413,nyaboke oduya keter,54161644,+254 109-916-83,nyaboke.keter@gmail.com,1973-04-27,female,Turkana,Turkana West,Lopur,"House 21, Uhuru Road, Lenana",03/09/2024,A,Cloud Computing,Cohort 3,Dr. Mary Akinyi,Fintech,On Hold
TECH-000414,SYOMBUA ONSONGO KIPKORIR,91499552,+254 775-044-83,syombua.kipkorir@gmail.com,1975-02-08,male,Bomet,Sotik,Kapletundo,"House 119, Kiambu Avenue, Mugumo",10-25-2026,I,Data Engineering,Cohort 3,Dr. Joel Muthoka,E-Commerce,Completed
TECH-000415,joseph okoth,45-736-204,NA,joseph.okoth@yahoo.com,1980-02-13,male,Kilifi,Kilifi North,Kibarani,"Plot 132, Lane 8, River Road",2025-05-01,A,Cybersecurity,Cohort 1,Eng. Ezekiel Mumo,AgriTech,Completed
TECH-000416,oduya nahum kiarie,62063088,+254 717-302-22,oduya.kiarie@hotmail.com,2002-05-23,male,Bomet,Bomet Central,Silibwet Township,"Plot 325, Lane 20, Limuru",04-13-2026,A,DevOps,Cohort 3,Prof. Victor Kioko,Fintech,Active
TECH-000417,WAITHERA NABWIRE,85701885,+254 713-283-03,waithera9@gmail.com,NA,FEMALE,Nakuru,Naivasha,NA,"House 161, Argwings Kodhek Street, Tom Mboya",16-Apr-2024,Active,Cybersecurity,Cohort 01,Eng. Ezekiel Mumo,AgriTech,Completed
TECH-000418,cherotich mwakisha,NULL,+254 714-385-90,cherotich.mwakisha@gmail.com,1984-06-15,male,Machakos,Machakos Town,Mua,"Plot 269, Lane 20, Parklands",21-Jul-2024,A,Data Science,Cohort 2,Eng. Elijah Mwania,Fintech,Active
TECH-000419,CECILIA ODHIAMBO,53035439,+254 115 584 82,cecilia.odhiambo@outlook.com,NA,male,Meru,Tigania East,Karama,"Plot 338, Lane 6, Thika",03-02-2024,I,NULL,Cohort 2,Prof. James Mwangi,HealthTech,Completed
TECH-000420,ezekiel mitei,12208928,+254 767-672-20,ezekiel.mitei@gmail.com,1978-03-06,male,Kakamega,Mumias East,Malaha/Isongo/Masindi,"House 374, Garden Estate Avenue, Ngong Road",23-Oct-26,I,Mobile Development,Cohort 1,Eng. Elijah Mwania,HealthTech,Active
TECH-000421,gladys awiti,53 413 739,+254 752-621-36,gladys.awiti@yahoo.com,1990-02-16,male,Meru,Buuri,Ruiri/Rwarera,"House 364, Uhuru Avenue, Ruaraka",2025-01-15,I,Data Engineering,Cohort 2,Eng. Gilbert Mutisya,Logistics,Active
TECH-000422,ONDIEKI NDEGWA,60493921,+254 777-656-00,ondieki.ndegwa@yahoo.com,1991-01-18,male,Kilifi,Kilifi North,Sokoni,"Plot 286, Lane 13, Kasarani",19/06/2024,A,Data Science,Cohort 1,Dr. Jonah Kasina,EdTech,Withdrawn
TECH-000423,NALIAKA DAVID MWINYI,31992370,+254 115-662-54,naliaka.mwinyi@outlook.com,1977-09-26,female,Turkana,Turkana Central,Kalokol,"Plot 221, Lane 10, Kiambu Road",01/08/2024,I,Cloud Computing,Cohort 3,Dr. Aaron Nduku,Fintech,On Hold
TECH-000424,SYOKAU TOWETT, 57317691,+254 765-899-91,syokau.towett@gmail.com,1995-02-26,male,NULL,Machakos Town,Kalama,"House 115, Jogoo Street, Kangundo",04/14/2024,NULL,Data Engineering,Cohort 2,Prof. Daniel Mutisya,Logistics,Completed
TECH-000425,JEBIWOTT KEMEI,46799123,+254 743-325-59,jebiwott.kemei@yahoo.com,2003-08-18,Male,Bungoma,Webuye East,Ndivisi,"house 347, kangundo street, kenyatta",30/06/2026,inactive,Cloud Computing,COHORT 1,Eng. Isaac Mutua,IoT,Active
TECH-000426,wachira mwangolochepkoech,54 269 149,+254 767-025-53,wachira.mwangolo@gmail.com,1986-08-14,male,NA,Mumias East,East Wanga,"House 197, Langata Drive, Mugumo",12/30/2024,A,,Cohort 1,Dr. Aaron Nduku,E-Commerce,Completed
TECH-000427,joseph adoyo waithera,46102405,+254 107-709-09,joseph.waithera@hotmail.com,1987-02-16,male,Nairobi,Dagoretti North,Kileleshwa,"Plot 344, Lane 4, Kitisuru",21-Sep-25,A,AI/ML,Cohort 1,Dr. Collins Mwania,IoT,Completed
TECH-000428,diana philemon otula,89362594,+254 774-900-44,diana.otula@hotmail.com,1988-12-09,male,Nyeri,Kieni,Mwiyogo/Endarasha,"Plot 190, Lane 2, Mugumo",28-Mar-25,A,AI/ML,Cohort 2,Prof. Isaiah Kasina,Clean Energy,Completed
TECH-000429,VICTOR GITOBU MUSILA,71195665,+254 743-073-88,victor.musila@outlook.com,1973-03-11,male,Bomet,Sotik,Ndanai/Abosi,"Plot 245, Lane 11, Garden Estate",02-04-2026,I,AI/ML,Cohort 2,Eng. Amos Nduku,Fintech,Active
TECH-000430,martin mary ondieki,34914143,+254 715-308-46,martin.ondieki@gmail.com,1997-11-09,female,Meru,Tigania East,Muthara,"House 223, Kitisuru Avenue, Juja",25-Apr-2026,I,Cybersecurity,Cohort 2,Dr. Jeremiah Kioko,Fintech,On Hold
TECH-000431,kilonzo kivuva,67385857,+254 106-683-04,kilonzo.kivuva@yahoo.com,2002-07-25,female,Turkana,Turkana East,Lokichar,"Plot 425, Lane 8, Ngong Road",22-03-2026,A,Software Engineering,Cohort 1,Eng. Gilbert Mutisya,Logistics,Completed
TECH-000432,MERCY KEMEI,49353426,+254 745-535-70,mercy.kemei@gmail.com,1981-10-01,female,Nairobi,Westlands,Kangemi,"Plot 447, Lane 17, Waiyaki",2024-03-24,I,Data Engineering,Cohort 3,Prof. Victor Kioko,Fintech,Active
