beneficiary_id,full_name,id_number,mobile,email_address,date_of_birth,gender,county,sub_county,ward,postal_address,registration_date,status,training_center,training_area,skill_category,training_status,completion_status
VOC-000371,KEVIN MUNYORI,91899417,+25470681581,NA,1983-12-13,F,Uasin Gishu,Turbo,Not Provided,"House 327, Kiambu Avenue, Kasarani",NA,INACTIVE,Bomet Youth Polytechnic,Masonry,Digital,Dropped Out,Certified
VOC-000372,CYNTHIA KOECH,42008485,254 744 530 28,Cynthia.koech@yahoo.com,2005-02-08,F,Nakuru,Naivasha,Hells Gate,"Plot 144, Lane 7, Kikuyu",15 Nov 2024,INACTIVE,Mombasa Technical Institute,Tailoring,Hospitality,In Progress,Completed
VOC-000373,CHEBET MOMANYI,12919231,+25477948530,chebet.momanyi@yahoo.com,1985-12-13,F,Mombasa,Jomvu,Miritini,"House 248, Lenana Avenue, Ngong Road",2023-05-12,ACTIVE,Machakos Technical Institute,ICT,Digital,Dropped Out,Not Started
VOC-000374,MUGO MBURU,11658959,+25411810859,Mugo.mburu@yahoo.com,1983-04-22,F,Nyeri,Mukurweini,Githi,"House 339, Kileleshwa Drive, Uhuru",16 Oct 2025,ACTIVE,Kitale Technical College,Catering,Technical,Enrolled,Ongoing
VOC-000375,AWITI MWIRIGI MCHARO,25132415 ,+25473897378,awiti.mcharo@gmail.com,2001-05-26,F,Nyeri,Kieni,Gatarakwa,"House 302, Kiambu Road Street, Lenana",06/09/2023,ACTIVE,Thika Technical Training Institute,Catering,Artisan,In Progress,Certified
VOC-000376,GICHURU OKELLO,7670-3346,+25478768075,Gichuruokello@gmail.com,05/14/1992,Female,Trans Nzoia,Saboti,Machewa,House338WaiyakiDriveParklands,01/25/2024,A,Kilifi Institute,Carpentry,HOSPITALITY,In Progress,Not Started
VOC-000377,NYABOKE KIPKORIR,23337370,+25476116887,Kipkorirnyaboke@yahoo.com,19-09-1981,male,Mombasa,Kisauni,Mjambere,"House 137, Karen Drive, Karen",25-Apr-2023,Pending,Kakamega Youth Polytechnic,Welding,ARTISAN,Dropped Out,Ongoing
VOC-000378,MURIUKI CHERUIYOT,39155667,+25411696678,muriuki.cheruiyot@yahoo.com,1977-06-11,F,Kilifi,Rabai,Kambe/Ribe,"Plot 315, Lane 5, Ngong",18/06/2023,ACTIVE,Nakuru Industrial Training Centre,Catering,Hospitality,Dropped Out,Certified
VOC-000379,NICHOLAS KAMOTHO,45555324,+25410237967,nicholas.kamotho@yahoo.com,1982-11-20,F,Nyeri,Kieni,Naromoru/Kiamathaga,"Plot 287, Lane 15, Tom Mboya",11/17/2024,INACTIVE,Nairobi Vocational Training Centre,Masonry,Digital,Dropped Out,Ongoing
VOC-000380,GAKUNYI MARGARET MCHARO,46793365,+25479798993,gakunyi.mcharo@yahoo.com,1998-07-09,M,Nairobi,Dagoretti South,Riruta,"House 302, Ruiru Road, Thika Superhighway",23/02/2024,ACTIVE,Kitale Technical College,Masonry,Hospitality,In Progress,Certified
VOC-000381,ADHIAMBO WANJALA,66741018,+25411342665,adhiambo.wanjala@gmail.com,1995-02-12,M,Kilifi,Rabai,Mwawesa,"House 132, Thika Road, Westlands",02-27-2025,INACTIVE,Bomet Youth Polytechnic,Masonry,Artisan,Enrolled,Completed
VOC-000382,RONO KIPKEMOI,27554482,+25471948338,kipkemoi.rono@gmail.com,1974-04-02,F,UASIN GISHU,NA,Racecourse,Not Provided,2024-02-02,ACTIVE,Thika Technical Training Institute,Carpentry,Technical,Enrolled,Certified
VOC-000383,ONYANGO ALLAN BAYA,17-773-636,+25472447398,onyango.baya@hotmail.com,2006-12-08,M,NA,Matungulu,Kyeleni,"Plot 304, Lane 1, Juja",04/28/2023,ACTIVE,Kitale Technical College,Catering,Hospitality,Completed,Ongoing
VOC-000384,MOKUA WAMBUGU,84513202,010 762 219,Mokua82@outlook.com,10-Jul-2003,Female,Kiambu,Githunguri,Githunguri,"Plot 446, Ln 13, Limuru",18-Nov-24,pending,Bomet Youth Polytechnic,Plumbing,HOSPITALITY,Dropped Out,Not Started
VOC-000385,SAMUEL MATTHEW WANDERA,11662570,+25478806334,Samuel.wandera@gmail.com,2003-07-26,F,Mombasa,Nyali,Kongowea,"House 70, Tom Mboya Avenue, Garden Estate",10-Mar-2023,INACTIVE,Kakamega Youth Polytechnic,Catering,Hospitality,Dropped Out,Ongoing
VOC-000386,ELIZABETH KENGA,7369-8335,+25474252200,elizabeth.kenga@yahoo.com,1977-08-13,M,Machakos,Yatta,Ndalani,"Plot 327, Lane 14, Kasarani",05/03/2023,ACTIVE,Kisumu Youth Skills Centre,Carpentry,Hospitality,Dropped Out,Ongoing
VOC-000387,ISAIAH K. ONDIEKI,89761155,+25410984042,iondieki@outlook.com,10/11/1974,M,Kakamega,Shinyalu,Isukha Central,"PLOT 432, LANE 16, KIAMBU",08-09-2023,Active,Thika Technical Training Institute,Metalwork,DIGITAL,In Progress,Ongoing
VOC-000388,KIMEU LANGAT,98519805,+254 722 108 68,Kimeu.langat@outlook.com,1993-09-18,F,Meru,South Imenti,Igoji East,"Plot 30, Lane 3, Argwings Kodhek",01-01-2024,ACTIVE,Bomet Youth Polytechnic,ICT,Digital,Enrolled,Certified
VOC-000389,ALICE GITAAU,48226449,+25410343541,Alice.gitau@gmail.com,1978-10-04,M,Machakos,Machakos Town,Mua,"House 297, Moi Avenue Street, Ngong Road",26/03/2024,ACTIVE,Meru Vocational Centre,Catering,Hospitality,Completed,Completed
VOC-000390,NAHUM ONYANGO KORIR,85642637,+25471591108,nahum.korir@gmail.com,2002-12-17,M,Kiambu,Limuru,Limuru East,"House 122, Ruaraka Road, Likoni",28/08/2025,INACTIVE,Machakos Technical Institute,ICT,Technical,In Progress,Not Started
VOC-000391,MOMANYI JEPCHUMBA OWUOR,8197-3483,+25475176510,momanyi.owuor@gmail.com,1975-04-11,F,Nairobi,Lang'ata,Karen,"Plot 291, Lane 10, Kileleshwa",2023-06-20,INACTIVE,Eldoret Polytechnic,Catering,Technical,Completed,Not Started
VOC-000392,KAIMENYI WANGARI,89854522,+25410877149,Kaimenyi.wangari@hotmail.com,1970-11-07,M,Nyeri,Mukurweini,Gikondi,"House 410, Thika Avenue, Lenana",08/11/2023,ACTIVE,Machakos Technical Institute,Electrical,Artisan,Completed,Completed
VOC-000393,MATTHEW MUTHAA KIPKIRUI,10357092,+25478766538,Matthew.kipkirui@gmail.com,1997-07-05,F,Kiambu,Lari,Nyanduma,"Plot 325, Lane 10, Kileleshwa",2025-05-16,ACTIVE,Kilifi Institute,ICT,Technical,Enrolled,Ongoing
VOC-000394,KIPKORIR OLELA,96161779,+25411404485,K.o@hotmail.com,2004-05-16,Female,Kiambu,Kabete,Muguga,"House 38, Kiambu Rd Drive, Langata",2024-10-09,ACTIVE,Nairobi Vocational Training Centre,Masonry,TECHNICAL,Dropped Out,Ongoing
VOC-000395,OJWANG WNAGARI,36911168,+25472695379,Ojwang.wangari@outlook.com,1966-06-03,F,Nairobi,Kasarani,Kasarani,"Plot 6, Lane 14, Lenana",01-07-2025,ACTIVE,Nakuru Industrial Training Centre,ICT,Technical,Completed,Ongoing
VOC-000396,ESTHER BAYA,24131536,+25479651945,esther.baya@yahoo.com,2005-08-15,M,MOMBASA,CHANGAMWE,CHANGAMWE,"Plot 11, Lane 19, Langata",15-09-2023,INACTIVE,Meru Vocational Centre,Masonry,Technical,Completed,Ongoing
VOC-000397,KAGWIRIA PAULINE MWAURA,13581735,N/A,Kagwiria.mwaura@gmail.com,1962-11-25,F,Nakuru,Not Provided,Amalo,"Plot 211, Lane 17, Waiyaki",05/01/2024,Not Provided,Nakuru Industrial Training Centre,Hairdressing,Hospitality,Completed,Ongoing
VOC-000398,ISAAC GITHINJI WANJOHI,88501468,+25473308132,Isaac.wanjohi@yahoo.com,1956-08-21,F,Kakamega,Mumias West,West Wanga,"Plot 45, Lane 12, Karen",11-09-2025,ACTIVE,Thika Technical Training Institute,Metalwork,Technical,Dropped Out,Not Started
VOC-000399,GAKUNYI OSEKO,45350739,+25471185662,gakunyi.oseko@hotmail.com,2003-12-19,M,Nyeri,Kieni,Thegu,"Plot 176, Lane 18, Ruaraka",20241005,ACTIVE,Nairobi Vocational Training Centre,Carpentry,Technical,Completed,Completed
VOC-000400,FAITH MUEMA ANYANGO,66755255,NA,anyangofaith@gmail.com,23/03/2004,Female,Kisumu,Seme,North Seme,"Plot 196, Lane 11, Karen",2024-03-14,inactive,Thika Technical Training Institute,Plumbing,TECHNICAL,Completed,Certified
VOC-000401,JEPKORIR COLLINS ODUYA,62901281,+25470314829,jepkorir.oduya@gmail.com,1966-10-22,M,Nairobi,Kasarani,Kasarani,"Plot 210, Lane 11, Outering",28 Jun 2023,INACTIVE,Bomet Youth Polytechnic,Electrical,Artisan,In Progress,Completed
VOC-000402,ROSE WADADA,82978165,+25471200367,Rose.wadada@gmail.com,1984-05-19,F,Kiambu,Ruiru,Kahawa Wendani,"Plot 158, Lane 16, Kiambu Road",04 Mar 2024,ACTIVE,Kakamega Youth Polytechnic,Hairdressing,Artisan,In Progress,Completed
VOC-000403,HANNAH KIPSANG,16952045,+25471269653,H.k@gmail.com,24-07-2006,FEMALE,Nairobi,Westlands,Mountain View,"Plot 219, Ln 11, Kilimani",21 Jan 2023,Active,Eldoret Polytechnic,Metalwork,TECHNICAL,Completed,Ongoing
VOC-000404,KIPROTICH MUSYOKA,72-117-013,+25411900058,Kiprotich.musyoka@hotmail.com,1970-01-09,F,Trans Nzoia,Cherangany,Cherangany/Suwerwa,"Plot 421, Lane 16, Kileleshwa",19/01/2024,INACTIVE,Kilifi Institute,Welding,Artisan,Dropped Out,Ongoing
VOC-000405,CHEPKORIR SYOMBUA,68227454,+25470415734,syombua.chepkorir@gmail.com,1983-09-28,F,Kilifi,Ganze,Bamba,"House 103, Kileleshwa Street, Kiambu Road",2023-04-12,ACTIVE,Nairobi Vocational Training Centre,Automotive,Technical,Enrolled,Completed
VOC-000406,ALICE KIPSANG BARASA,36512868,+25473544613,Alice.barasa@gmail.com,1985-08-21,M,Uasin Gishu,Kapseret,Megun,"Plot 204, Lane 16, Lenana",24/04/2025,INACTIVE,Mombasa Technical Institute,Masonry,Technical,Dropped Out,Certified
VOC-000407,THOMAS ONGAYA,71604156,+25473201853,Thomas.ongaya@gmail.com,1964-12-20,M,Kiambu,NA,Kamburu,N/A,26-Jun-2024,INACTIVE,Mombasa Technical Institute,Tailoring,Technical,Completed,Certified
VOC-000408,HABAKKUK ALICE MWAMBURI,56029251,+25410231297,habakkuk.mwamburi@gmail.com,1997-03-09,F,Nakuru,Molo,Molo,"Plot 313, Lane 20, Kikuyu",03-Nov-24,INACTIVE,Kilifi Institute,ICT,Hospitality,Completed,Not Started
VOC-000409,OKELLO MWENDE LUBANGA,99367274 ,254 783 386 09,Okello.lubanga@outlook.com,1992-11-23,F,Nakuru,Rongai,Visoi,"House 99, Uhuru Street, Kikuyu",2023-03-12,INACTIVE,Nakuru Industrial Training Centre,Hairdressing,Artisan,Completed,Completed
VOC-000410,SILAS KIMANI KIPROTICH,86178952,+25411133773,NA,2003-06-19,F,Uasin Gishu,Kapseret,Langas,"Plot 201, Lane 13, Karen",2023-09-07,ACTIVE,Thika Technical Training Institute,Masonry,Digital,Enrolled,Ongoing
VOC-000411,FLORA NZIOKA,47628190,+25474432247,Flora.nzioka@gmail.com,1973-01-21,M,Kiambu,Kiambu,Ndumberi,"Plot 105, Lane 12, Limuru",14/09/2023,INACTIVE,Eldoret Polytechnic,Catering,Digital,Completed,Completed
VOC-000412,MUTHOKA MUNYAO,30946019,+25411158825,muthoka.munyao@hotmail.com,1966-02-23,M,Trans Nzoia,Kiminini,Sirende,"Plot 203, Lane 8, Mugumo",05/01/2024,INACTIVE,Nairobi Vocational Training Centre,Electrical,Technical,In Progress,Ongoing
VOC-000413,GAKUNYI MWAKISHA,68719406,+25410397007,gakunyi.mwakisha@outlook.com,1993-02-03,F,Kilifi,Kilifi North,Tezo,"Plot 54, Lane 20, Likoni",2024-12-23,INACTIVE,Bomet Youth Polytechnic,Carpentry,Hospitality,In Progress,Ongoing
VOC-000414,KIOKO AUMA,78036333,+25475601197,kioko.auma@gmail.com,1995-01-13,F,Kilifi,Rabai,Mwawesa,"House 159, Argwings Kodhek Drive, Lenana",28-Jan-25,INACTIVE,Meru Vocational Centre,Automotive,Digital,Completed,Not Started
VOC-000415,TIMOTHY MARTHA ANYANGO,31161881,+25476980333,timothy.anyango@yahoo.com,1980-09-15,F,Bungoma County,Kimilili,Kamukuywa,"House 45, Kasarani Drive, Likoni",07/17/2023,INACTIVE,Mombasa Technical Institute,Graphics Design,Technical,Completed,Ongoing
VOC-000416,MAINA SENTEU,88536501,+25476841427,N/A,2002-07-13,F,Mombasa,Changamwe,Airport,"House 223, Likoni Road, Likoni",29-Oct-2023,ACTIVE,Nakuru Industrial Training Centre,Plumbing,Technical,In Progress,Ongoing
VOC-000417,ANNA MUSYOKA, 60524625,NA,Anna.musyoka@hotmail.com,N/A,M,Kiambu,Kiambu,Ting'ang'a,Not Provided,16-Dec-24,ACTIVE,Kakamega Youth Polytechnic,ICT,Hospitality,Completed,Certified
VOC-000418,MARTHA MUTISYA MACHARIA,59221290,+25475856625,martha.macharia@gmail.com,1987-12-21,F,Nairobi,Dagoretti North,Gatina,"Plot 422, Lane 4, Ruaraka",2024-07-07,INACTIVE,Nakuru Industrial Training Centre,Welding,Hospitality,Completed,Completed
VOC-000419,GAKUNYI KINYUA WANYONYI, 96095674,+25473382820,gakunyi.wanyonyi@gmail.com,1975-10-07,F,Nairobi,Dagoretti South,Waithaka,"Plot 269, Lane 3, Kilimani",17 Aug 2025,INACTIVE,Machakos Technical Institute,Catering,Technical,In Progress,Ongoing
VOC-000420,RACHEL MOMANYI GITHUA,77121355,+25471206436,rachel.githua@gmail.com,1979-12-15,M,Turkana,Turkana West,Letea,"Plot 243, Lane 2, Karen",2023-11-08,ACTIVE,Kisumu Youth Skills Centre,Carpentry,Hospitality,Dropped Out,Not Started
VOC-000421,NOKUN KIPKEMOI KANAMPIU,84758190,+25474126819,nokun.kanampiu@gmail.com,1987-10-26,M,Nakuru,Subukia,Subukia,"House 276, Kasarani Avenue, Athi River",2023-08-26,ACTIVE,Nairobi Vocational Training Centre,Masonry,Artisan,Completed,Completed
VOC-000422,GRACE ACHIENG,28007273,+25476120801,grace.achieng@gmail.com,1974-01-05,M,Trans Nzoia,Cherangany,Kaplamai,"House 276, Ngong Road Drive, Lenana",28-05-2025,INACTIVE,Thika Technical Training Institute,Electrical,Artisan,Dropped Out,Not Started
VOC-000423,MWANIA ONGERI KIVUVA,47393393,+25478382083,mwania.kivuva@yahoo.com,2002-01-17,M,Nairobi,Dagoretti North,Kileleshwa,"Plot 222, Lane 1, Jogoo",06/24/2023,ACTIVE,Kilifi Institute,Graphics Design,Hospitality,In Progress,Not Started
VOC-000424,MWANGI TIMOTHY MUEMA,37423498,+25478495830,mwangi.muema@gmail.com,1955-12-15,M,Kisumu,Nyakach,South West Nyakach,"House 234, Limuru Avenue, Juja",2025-08-13,INACTIVE,Kakamega Youth Polytechnic,Tailoring,Artisan,In Progress,Not Started
VOC-000425,GITOBU DAVID CHEPKIRUI,81437621,+25470406640,gitobu.chepkirui@gmail.com,1958-02-25,M,Kakamega,Lugari,Lugari,"Plot 91, Lane 12, Ruiru",17/07/2024,ACTIVE,Nakuru Industrial Training Centre,Metalwork,Artisan,Completed,Completed
VOC-000426,GITHINJI WANJOHI,64002855,+25473324527,githinji.wanjohi@yahoo.com,1998-06-16,M,Mombasa,Likoni,Likoni,"Plot 53, Lane 14, Tom Mboya",2023-01-27,ACTIVE,Nakuru Industrial Training Centre,Graphics Design,Technical,Enrolled,Not Started
VOC-000427,REBECCA JEBET,77666154,+25475577667,rebecca.jebet@outlook.com,1994-04-09,M,Kakamega,Matungu,Namamali,"House 42, Kileleshwa Road, Uhuru",2023-02-26,INACTIVE,Kakamega Youth Polytechnic,Welding,Technical,In Progress,Certified
VOC-000428,BEATRICE ANNA KILONZO,36419131,+25479567426,Beatrice.kilonzo@yahoo.com,2005-01-07,F,NAIROBI,Kibra,Woodley,"House 250, Kikuyu Drive, Ruaraka",04-May-2024,INACTIVE,Meru Vocational Centre,Metalwork,Digital,In Progress,Not Started
VOC-000429,SENTEU GITHINJI,99624588,+25472557959,Senteu.githinji@outlook.com,2000-07-24,M,Meru,Tigania West,Kianjai,"Plot 453, Lane 14, Kitisuru",27/07/2025,INACTIVE,Nairobi Vocational Training Centre,Masonry,Technical,In Progress,Certified
VOC-000430,MARTIN ZEPHANIAH KASINA,11502307,+25479833203,martin.kasina@yahoo.com,1979-07-27,F,Nakuru,Bahati,Bahati,"Plot 238, Lane 19, Mugumo",17 Feb 2023,INACTIVE,Mombasa Technical Institute,Hairdressing,Digital,Dropped Out,Certified
VOC-000431,MARTHA ADOYO,83846845,+25470958430,Martha.adoyo@gmail.com,1964-08-27,F,Nairobi,Westlands,Mountain View,"Plot 64, Lane 4, Jogoo",12/06/2023,ACTIVE,Kitale Technical College,Tailoring,Digital,Enrolled,Ongoing
VOC-000432,ANYANGO CHEPKOECH BARASA,74318409,+25477430575,Anyango.barasa@gmail.com,1957-10-26,M,Kisumu,Kisumu West,West Kisumu,"House 117, Uhuru Street, Athi River",05-08-2024,ACTIVE,Bomet Youth Polytechnic,ICT,Hospitality,Dropped Out,Ongoing
VOC-000433,CAROLINE WACHIRA TSUMA,90547120,+25472308893,Caroline.tsuma@outlook.com,1962-01-23,M,Nakuru,Kuresoi South,Tinet,"House 372, Kitisuru Road, Athi River",2023-02-12,INACTIVE,Meru Vocational Centre,Catering,Hospitality,Completed,Ongoing
VOC-000434,DIANA KASINA,81803477,+25411845900,Diana.kasina@gmail.com,1983-02-04,F,Mombasa,Mvita,Tudor,"House 157, Lavington Drive, Langata",02/06/2023,ACTIVE,Machakos Technical Institute,Hairdressing,Artisan,In Progress,Not Started
VOC-000435,OKELLO MAYNGI,22330471,+25474692680,okello.maingi@gmail.com,1984-02-18,M,Trans Nzoia,Cherangany,Makutano,"Plot 349, Lane 19, Argwings Kodhek",17-Apr-2024,Not Provided,Kitale Technical College,Plumbing,Artisan,Dropped Out,Certified
VOC-000436,GICHURU KIPROTICH,47384667,+25478803807,Gichuru.kiprotich@hotmail.com,1993-08-24,F,N/A,Ruiru,Kahawa Sukari,"Plot 146, Lane 11, Limuru",18/03/2025,INACTIVE,Nairobi Vocational Training Centre,Automotive,Hospitality,In Progress,Ongoing
VOC-000437,ELIJAH ACHIENG CHERONO,48493281,+25410523830,Elijah.cherono@yahoo.com,1979-07-21,M,Meru,Igembe North,Ntunene,"Plot 397, Lane 14, Mombasa Road",06-06-2024,INACTIVE,Mombasa Technical Institute,Hairdressing,Technical,Completed,Completed
VOC-000438,JUDITH CHEPKORIR GITHUA,89648700,+25410918764,Judith.githua@gmail.com,1968-03-15,M,Kiambu,Lari,Kamburu,"Plot 130, Lane 17, Kilimani",2023-07-20,ACTIVE,Mombasa Technical Institute,Automotive,Digital,Completed,Certified
VOC-000439,JOEL KOROSS,50990965,+25411707778,joel.koross@gmail.com,1990-06-01,M,Machakos,Machakos Town,Kalama,"Plot 421, Lane 10, Kiambu",27-12-2023,ACTIVE,Kisumu Youth Skills Centre,Carpentry,Technical,Enrolled,Not Started
VOC-000440,LESHAN WAIHERA,37154707,+25477556774,Leshan.waithera@gmail.com,1983-04-03,M,KIAMBU,Kikuyu,Sigona,"Plot 53, Lane 7, Kangundo",2023-02-03,INACTIVE,Eldoret Polytechnic,Welding,Artisan,Dropped Out,Completed
VOC-000441,RIMBERIA KINIA,13680680,+25411249600,rimberia.kinya@gmail.com,1983-04-02,M,Machakos,Mavoko,Kinanie,"Plot 426, Lane 11, Parklands",2023-10-07,ACTIVE,Eldoret Polytechnic,Graphics Design,Digital,Dropped Out,Ongoing
VOC-000442,NASERIAN AMOS KIPROP,83502838,+25477173312,naserian.kiprop@gmail.com,1997-11-20,F,Kiambu,Kabete,Gitaru,"House 402, Kilimani Street, Argwings Kodhek",04/02/2023,ACTIVE,Eldoret Polytechnic,Catering,Hospitality,Completed,Ongoing
VOC-000443,ISAAC OTIENO, 34131793,+25474920795,isaac.otieno@gmail.com,1986-07-07,M,Meru,Buuri,Ruiri/Rwarera,"House 307, Juja Street, Langata",20/06/2024,ACTIVE,Kisumu Youth Skills Centre,Plumbing,Hospitality,In Progress,Ongoing
VOC-000444,KALOKI KIPCHUMBA NJUGUNA,32653778,+25471361207,Kaloki.njuguna@hotmail.com,1951-02-20,M,Bomet,Bomet East,Chemaner,"Plot 473, Lane 19, Likoni",02 Oct 2024,ACTIVE,Mombasa Technical Institute,Tailoring,Hospitality,In Progress,Not Started
VOC-000445,JEPKORIR CHEPKORIR, 43382936,N/A,Jepkorir.chepkorir@gmail.com,Not Provided,F,Nairobi,Kasarani,Mwiki,"Plot 65, Lane 11, Kileleshwa",28-Jun-24,INACTIVE,Kilifi Institute,ICT,Digital,In Progress,Completed
VOC-000446,LENGURO KIPCHIRCHIR MWANGOLO,57 584 677,+25474770388,Lenguro.mwangolo@outlook.com,1964-11-28,F,Nyeri,Kieni,Mwiyogo/Endarasha,"Plot 136, Lane 16, Uhuru",24/03/2023,ACTIVE,Bomet Youth Polytechnic,Electrical,Digital,Completed,Certified
VOC-000447,JEREMIAH MUTUA KARANJA,47364992,+25475485271,j.k@gmail.com,26-04-1997,female,Trans Nzoia,Endebess,Chepchoina,"House 222, Thika Avenue, Likoni",2023-10-18,pending,Kisumu Youth Skills Centre,Masonry,DIGITAL,Completed,Certified
VOC-000448,ONDIEKI OJWANG,54462182,+25476482605,Ondieki.ojwang@gmail.com,1975-07-01,M,Nairobi,Dagoretti North,Gatina,"Plot 385, Lane 19, Kikuyu",2024-03-23,INACTIVE,Meru Vocational Centre,Graphics Design,Artisan,Dropped Out,Certified
VOC-000449,CAROLINE MUSALIA,64047337,+25475111112,caroline.musalia@gmail.com,1993-01-19,F,Nairobi,Kasarani,Clay City,"Plot 432, Lane 3, Waiyaki",12/10/2025,INACTIVE,Kitale Technical College,Masonry,Artisan,Completed,Completed
VOC-000450,ALEXANDER EMILY KIPKEMBOI,77886466,+25475298983,Alexander.kipkemboi@hotmail.com,1999-04-09,F,NA,Limuru,Ndeiya,Not Provided,Not Provided,ACTIVE,Nairobi Vocational Training Centre,Automotive,Artisan,Enrolled,Certified
VOC-000451,NASHIPAE KIPCHUMBA,84819541,+25470800281,nashipae.kipchumba@hotmail.com,1969-05-12,Male,Mombasa,Likoni,Bofu,"PLOT 101, LANE 3, ATHI RIVER",20241107,Active,Thika Technical Training Institute,Catering,TECHNICAL,In Progress,Not Started
VOC-000452,MIRIAM FAITH KHAEMBA,98054220,+25411715642,Miriam.khaemba@outlook.com,1986-04-27,M,Nairobi,Lang'ata,Nairobi West,"Plot 116, Lane 19, Langata",2025-03-12,ACTIVE,Meru Vocational Centre,Carpentry,Digital,Enrolled,Not Started
VOC-000453,CAROLINE OMBATI,41-424-136,+25477326645,Caroline.ombati@hotmail.com,1995-10-26,M,Nairobi,Dagoretti South,Waithaka,"Plot 159, Lane 2, Ruaraka",24-06-2023,ACTIVE,Bomet Youth Polytechnic,Catering,Hospitality,Dropped Out,Completed
VOC-000454,JEBIWOTT WAITHERA,37467964,+25475520760,jebiwott.waithera@gmail.com,1987-12-22,M,Mombasa,Kisauni,Bamburi,"Plot 25, Lane 4, Lavington",2025-10-09,INACTIVE,Bomet Youth Polytechnic,Masonry,Artisan,Completed,Not Started
VOC-000455,MUTHEU MUTUA,87 921 068,+25471153664,mutheu.mutua@yahoo.com,1966-02-23,F,Machakos,Kathiani,Lower Kaewa/Iveti,"Plot 17, Lane 6, Karen",2025-04-20,ACTIVE,Bomet Youth Polytechnic,Masonry,Technical,Dropped Out,Not Started
VOC-000456,JEREMIAH HANNAH KIVUVA,94650751,+25479931757,Not Provided,1995-06-27,F,Nakuru,Bahati,Dundori,"House 374, Kiambu Road Drive, Mombasa Road",2023-11-28,ACTIVE,Thika Technical Training Institute,Tailoring,Hospitality,Dropped Out,Ongoing
VOC-000457,KANANA AWUOR WAMUYU,92 746 886,+25475511374,Kanana.wamuyu@gmail.com,1961-09-11,M,Machakos,Mavoko,Kinanie,"Plot 108, Lane 20, Ruiru",2025-01-27,ACTIVE,Nakuru Industrial Training Centre,Welding,Digital,Completed,Not Started
VOC-000458,FAITH ODUYA,97489300,+25470781223,Faith.oduya@outlook.com,1994-01-11,M,Trans Nzoia,Kiminini,Sirende,"Plot 374, Lane 19, Limuru",05-01-2023,INACTIVE,Bomet Youth Polytechnic,ICT,Artisan,In Progress,Certified
VOC-000459,ERICK NDEGWA,90753445,+25478401787,erick.ndegwa@yahoo.com,2004-01-04,M,Machakos,Masinga,Ndithini,"House 317, Kasarani Avenue, Kitisuru",16 Jul 2023,INACTIVE,Bomet Youth Polytechnic,Welding,Technical,Dropped Out,Not Started
VOC-000460,NAIPANOI SITUMMA,23657675,+25476419866,naipanoi.situma@hotmail.com,1988-01-21,F,NA,Not Provided,Akachiu,"Plot 466, Lane 4, Langata",2025-12-20,ACTIVE,Not Provided,Graphics Design,Digital,Completed,Completed
VOC-000461,KIPKORIR JONATHAN MWAURA,42482494,+254 105 632 25,Not Provided,20 Apr 2003,Male,Uasin Gishu,Kapseret,Ngeria,Not Provided,03-17-2024,A,Not Provided,ICT,ARTISAN,In Progress,Not Started
VOC-000462,MUKAMI MUSALIA,23875009,+25475104657,Mukami.musalia@outlook.com,1961-01-08,M,Nakuru,Molo,Marioshoni,"House 183, Thika Drive, Thika Superhighway",09/07/2024,INACTIVE,Eldoret Polytechnic,Hairdressing,Digital,Dropped Out,Certified
VOC-000463,MUNYAO MWOROA,47603482 ,+25410560302,munyao.mworoa@outlook.com,2005-09-21,M,Kilifi,Ganze,Sokoke,"Plot 240, Lane 15, Westlands",2025-04-24,ACTIVE,Bomet Youth Polytechnic,Electrical,Technical,Completed,Completed
VOC-000464,ADHIAMBO MUTISYASAMUEL,91630214,+25410214881,adhiambo.mutisya@gmail.com,1984-03-22,M,Nyeri,Nyeri Town,Kiganjo/Mathari,"Plot 298, Lane 13, Mombasa Road",03/26/2024,INACTIVE,Kilifi Institute,ICT,Technical,In Progress,Not Started
VOC-000465,VERONICA WABOMBA,31516822,+25475146777,Veronica.wabomba@gmail.com,1995-02-20,F,Kiambu,Githunguri,Ikinu,"Plot 426, Lane 5, Tom Mboya",11-04-2025,INACTIVE,Eldoret Polytechnic,Catering,Hospitality,Enrolled,Not Started
VOC-000466,KERUBO MWAMGO,87999861,N/A,NA,2003-12-24,F,Nyeri,Mathira,Kirimukuyu,"Plot 363, Lane 16, Thika",07-Dec-2024,INACTIVE,Kakamega Youth Polytechnic,Carpentry,Digital,Dropped Out,Ongoing
VOC-000467,"MUSILA, ZECHARIAH",65854454,+25472349088,zechariah.musila@gmail.com,1999-11-08,M,Nairobi,Lang'ata,Nairobi West,"Plot 121, Lane 10, Lavington",2023-05-26,INACTIVE,Kisumu Youth Skills Centre,Graphics Design,Digital,Enrolled,Ongoing
VOC-000468,KEVIN MURIUKI,34335725,077 339 969,Kevin.muriuki@gmail.com,1994-11-26,F,Machakos,Kangundo,Kangundo East,"House 202, Mombasa Road Drive, Mombasa Road",20230204,ACTIVE,Mombasa Technical Institute,Electrical,Technical,In Progress,Ongoing
VOC-000469,MUMO MUSYOKA,26309371,+25411668328,mumo.musyoka@gmail.com,1971-05-04,M,KILIFI,Malindi,Shella,"Plot 120, Lane 13, Kiambu Road",11-03-2025,ACTIVE,Nairobi Vocational Training Centre,Masonry,Hospitality,Completed,Not Started
